timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
2013-11-05T00:00:00.000Z;2013-11-05T23:59:59.999Z;2013-11-05T00:00:00.000Z;2013-11-05T00:00:00.000Z;229.210006714;250.660003662;226.220001221;245.240005493;0;2931598960;11954000;2013-11-05T23:59:59.999Z
2013-11-06T00:00:00.000Z;2013-11-06T23:59:59.999Z;2013-11-06T00:00:00.000Z;2013-11-06T00:00:00.000Z;244.779998779;263;244.779998779;262.5;0;3138994687.5;11958075;2013-11-06T23:59:59.999Z
2013-11-07T00:00:00.000Z;2013-11-07T23:59:59.999Z;2013-11-07T00:00:00.000Z;2013-11-07T00:00:00.000Z;261.679992676;304.170013428;261.549987793;296.410003662;0;3545560086.75;11961675;2013-11-07T23:59:59.999Z
2013-11-08T00:00:00.000Z;2013-11-08T23:59:59.999Z;2013-11-08T00:00:00.000Z;2013-11-08T00:00:00.000Z;297.850006103;338.660003662;296.929992676;338.109985352;0;4045494602.75;11965025;2013-11-08T23:59:59.999Z
2013-11-09T00:00:00.000Z;2013-11-09T23:59:59.999Z;2013-11-09T00:00:00.000Z;2013-11-09T00:00:00.000Z;338.579986572;370.820007324;319.709991455;339.109985352;0;4058705857;11968700;2013-11-09T23:59:59.999Z
2013-11-10T00:00:00.000Z;2013-11-10T23:59:59.999Z;2013-11-10T00:00:00.000Z;2013-11-10T00:00:00.000Z;348.820007324;350.700012207;277.239990234;326.619995117;0;3910613094.5;11972975;2013-11-10T23:59:59.999Z
2013-11-11T00:00:00.000Z;2013-11-11T23:59:59.999Z;2013-11-11T00:00:00.000Z;2013-11-11T00:00:00.000Z;325.410003662;351.269989014;311.779998779;342.440002441;0;4101635027;11977675;2013-11-11T23:59:59.999Z
2013-11-12T00:00:00.000Z;2013-11-12T23:59:59.999Z;2013-11-12T00:00:00.000Z;2013-11-12T00:00:00.000Z;343.059997559;362.809997559;342.799987793;360.329986572;0;4317726291;11982700;2013-11-12T23:59:59.999Z
2013-11-13T00:00:00.000Z;2013-11-13T23:59:59.999Z;2013-11-13T00:00:00.000Z;2013-11-13T00:00:00.000Z;360.970001221;414.049987793;359.799987793;407.369995117;0;4883103453;11986900;2013-11-13T23:59:59.999Z
2013-11-14T00:00:00.000Z;2013-11-14T23:59:59.999Z;2013-11-14T00:00:00.000Z;2013-11-14T00:00:00.000Z;406.410003662;425.899993897;395.190002441;420.200012207;0;5038817795;11991475;2013-11-14T23:59:59.999Z
2013-11-15T00:00:00.000Z;2013-11-15T23:59:59.999Z;2013-11-15T00:00:00.000Z;2013-11-15T00:00:00.000Z;419.410003662;437.890014648;396.109985352;417.950012207;0;5013561020;11995600;2013-11-15T23:59:59.999Z
2013-11-16T00:00:00.000Z;2013-11-16T23:59:59.999Z;2013-11-16T00:00:00.000Z;2013-11-16T00:00:00.000Z;417.279998779;450.260009766;415.570007324;440.220001221;0;5282849104.5;12000475;2013-11-16T23:59:59.999Z
2013-11-17T00:00:00.000Z;2013-11-17T23:59:59.999Z;2013-11-17T00:00:00.000Z;2013-11-17T00:00:00.000Z;440.959991455;500.579986572;440.239990234;492.109985352;0;5907842063.75;12005125;2013-11-17T23:59:59.999Z
2013-11-18T00:00:00.000Z;2013-11-18T23:59:59.999Z;2013-11-18T00:00:00.000Z;2013-11-18T00:00:00.000Z;496.579986572;703.780029297;494.940002441;703.559997559;0;8449069629;12009025;2013-11-18T23:59:59.999Z
2013-11-19T00:00:00.000Z;2013-11-19T23:59:59.999Z;2013-11-19T00:00:00.000Z;2013-11-19T00:00:00.000Z;712.760009766;806.109985352;456.390014648;584.609985352;0;7022949160.5;12013050;2013-11-19T23:59:59.999Z
2013-11-20T00:00:00.000Z;2013-11-20T23:59:59.999Z;2013-11-20T00:00:00.000Z;2013-11-20T00:00:00.000Z;577.979980469;599.650024414;448.450012207;590.83001709;0;7100077963.75;12017125;2013-11-20T23:59:59.999Z
2013-11-21T00:00:00.000Z;2013-11-21T23:59:59.999Z;2013-11-21T00:00:00.000Z;2013-11-21T00:00:00.000Z;594.320007324;733.400024414;577.289978027;722.429992676;0;8684240726.25;12020875;2013-11-21T23:59:59.999Z
2013-11-22T00:00:00.000Z;2013-11-22T23:59:59.999Z;2013-11-22T00:00:00.000Z;2013-11-22T00:00:00.000Z;724.070007324;780.849975586;668.130004883;771.440002441;0;9276681716;12025150;2013-11-22T23:59:59.999Z
2013-11-23T00:00:00.000Z;2013-11-23T23:59:59.999Z;2013-11-23T00:00:00.000Z;2013-11-23T00:00:00.000Z;771.700012207;844.969970703;771.700012207;797.820007324;0;9597335799;12029450;2013-11-23T23:59:59.999Z
