timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2013-02-14T00:00:00.000Z";"2013-02-14T23:59:59.999Z";"2013-02-14T00:48:00.000Z";"2013-02-14T04:50:00.000Z";"2781";25.07835651;26.11643369;21.69268792;25.90549239;145854.14;279252464.87;10779612.5;"2013-02-14T23:59:59.999Z"
"2013-02-13T00:00:00.000Z";"2013-02-13T23:59:59.999Z";"2013-02-13T00:58:00.000Z";"2013-02-13T13:55:00.000Z";"2781";25.1316521;27.66117251;23.21033414;25.07980504;90041.94;270256713.52;10775869.79;"2013-02-13T23:59:59.999Z"
"2013-02-12T00:00:00.000Z";"2013-02-12T23:59:59.999Z";"2013-02-12T02:47:00.000Z";"2013-02-12T13:34:00.000Z";"2781";24.54491244;27.35865136;22.65733542;25.12181648;74170.04;270602341.58;10771607.29;"2013-02-12T23:59:59.999Z"
"2013-02-11T00:00:00.000Z";"2013-02-11T23:59:59.999Z";"2013-02-11T09:34:00.000Z";"2013-02-11T00:24:00.000Z";"2781";23.90015881;27.94406908;22.88141959;24.54176417;29530.65;264268861;10768101.04;"2013-02-11T23:59:59.999Z"
"2013-02-10T00:00:00.000Z";"2013-02-10T23:59:59.999Z";"2013-02-10T01:51:00.000Z";"2013-02-10T00:42:00.000Z";"2781";23.61708729;27.91005252;22.8242266;23.88249057;56386.35;257074064.06;10764094.79;"2013-02-10T23:59:59.999Z"
"2013-02-09T00:00:00.000Z";"2013-02-09T23:59:59.999Z";"2013-02-09T01:15:00.000Z";"2013-02-09T00:00:00.000Z";"2781";22.32985654;28.03948334;22.32985654;23.5390991;38119.66;253283942.95;10760112.5;"2013-02-09T23:59:59.999Z"
"2013-02-08T00:00:00.000Z";"2013-02-08T23:59:59.999Z";"2013-02-08T06:20:00.000Z";"2013-02-08T00:35:00.000Z";"2781";21.70826787;24.69543726;21.09172778;22.24876393;48661.89;239320219.77;10756562.5;"2013-02-08T23:59:59.999Z"
"2013-02-07T00:00:00.000Z";"2013-02-07T23:59:59.999Z";"2013-02-07T17:32:00.000Z";"2013-02-07T00:27:00.000Z";"2781";20.96664243;26.11201311;20.5143431;21.69619448;64367.44;233294207.2;10752770.83;"2013-02-07T23:59:59.999Z"
"2013-02-06T00:00:00.000Z";"2013-02-06T23:59:59.999Z";"2013-02-06T23:50:00.000Z";"2013-02-06T01:31:00.000Z";"2781";20.74654051;21.47593625;17.42111871;20.96281652;52106.45;225327677.06;10748892.71;"2013-02-06T23:59:59.999Z"
"2013-02-05T00:00:00.000Z";"2013-02-05T23:59:59.999Z";"2013-02-05T04:17:00.000Z";"2013-02-05T16:41:00.000Z";"2781";20.64699436;25.71122074;18.18928481;20.75961928;29060.19;223067947.81;10745281.25;"2013-02-05T23:59:59.999Z"
"2013-02-04T00:00:00.000Z";"2013-02-04T23:59:59.999Z";"2013-02-04T11:40:00.000Z";"2013-02-04T01:28:00.000Z";"2781";20.7214864;22.50978969;19.48733521;20.57777016;52321.49;221028144.29;10741112.5;"2013-02-04T23:59:59.999Z"
"2013-02-03T00:00:00.000Z";"2013-02-03T23:59:59.999Z";"2013-02-03T21:11:00.000Z";"2013-02-03T06:23:00.000Z";"2781";19.63720043;21.30093984;17.93200208;20.72008399;34125.7;222470570.55;10736892.71;"2013-02-03T23:59:59.999Z"
